Portco,PE Firm,Website,Gross Annual Revenue,Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
LogMeIn (GoTo),Evergreen Coast Capital,https://www.logmein.com/,"1,310,000,000",AWS,Unknown,Unknown
Cubic Corporation,Evergreen Coast Capital,https://www.cubic.com/,"1,480,000,000",AWS,Azure,Unknown
Citrix Systems,Evergreen Coast Capital,https://www.citrix.com/,"3,310,000,000",AWS,Azure,GCP
athenahealth,Evergreen Coast Capital,https://www.athenahealth.com/,"1,220,000,000",AWS,Azure,Unknown
Gigamon,Evergreen Coast Capital,https://www.gigamon.com/,"311,000,000",AWS,Azure,GCP
Travelport,Evergreen Coast Capital,https://www.travelport.com/,"2,500,000,000",AWS,Unknown,Unknown
WorkForce Software,Evergreen Coast Capital,https://workforcesoftware.com/,Unknown,Unknown,Unknown,Unknown
Nielsen,Evergreen Coast Capital,https://www.nielsen.com/,"3,530,000,000",AWS,Azure,GCP
