Portco,PE Firm,Website,Gross Annual Revenue (USD),Cloud_Provider1,Cloud_Provider2,Cloud_Provider3
Ocuco,Accel-KKR,https://www.ocuco.com,"$75,000,000",Unknown,,
Office Timeline,Accel-KKR,https://www.officetimeline.com,"$15,000,000",Unknown,,
One.com,Accel-KKR,https://www.one.com,"$2,640,000",Unknown,,
OneShield,Accel-KKR,https://oneshield.com,Unknown,Unknown,,
OrderMyGear,Accel-KKR,https://www.ordermygear.com,"$29,200,000",Unknown,,
OrthoFi,Accel-KKR,https://www.orthofi.com,"$11,000,000",Unknown,,
PageUp People,Accel-KKR,https://www.pageuppeople.com,Unknown,AWS,,
Partnerize,Accel-KKR,https://partnerize.com,Unknown,AWS,,
Patientco,Accel-KKR,https://www.patientco.com,"$12,000,000",Unknown,,
Paymentus (NYSE: PAY),Accel-KKR,https://www.paymentus.com,"$871,750,000",Unknown,,
Pegasus Management,Accel-KKR,https://pegasus.net.au,Unknown,Unknown,,
Peppermint Technology,Accel-KKR,https://pepperminttechnology.co.uk,Unknown,Azure,,
PointRight,Accel-KKR,https://www.pointright.com,Unknown,Unknown,,
PrismHR,Accel-KKR,https://www.prismhr.com,Unknown,Unknown,,
PropLogix,Accel-KKR,https://www.proplogix.com,Unknown,Unknown,,
Quartex,Accel-KKR,https://www.quartex.com,Unknown,Unknown,,
Rackspace,Accel-KKR,https://www.rackspace.com,Unknown,AWS,Azure,GCP
Reapit,Accel-KKR,https://www.reapit.com,Unknown,Unknown,,
Recurly,Accel-KKR,https://recurly.com,Unknown,GCP,,
ResiDex,Accel-KKR,https://www.residex.com,Unknown,Unknown,,
Saber,Accel-KKR,https://www.saberpartners.com,Unknown,Unknown,,
Safeguard Global,Accel-KKR,https://www.safeguardglobal.com,Unknown,Unknown,,
Salary.com,Accel-KKR,https://www.salary.com,Unknown,Unknown,,
Salsa Labs,Accel-KKR,https://www.salsalabs.com,Unknown,Unknown,,
Sandata Technologies,Accel-KKR,https://sandata.com,Unknown,Unknown,,
Savista,Accel-KKR,https://www.savistarcs.com,Unknown,Unknown,,
Seequent,Accel-KKR,https://www.seequent.com,Unknown,Unknown,,
Sensor Tower,Accel-KKR,https://sensortower.com,Unknown,Unknown,,
ShowingTime,Accel-KKR,https://www.showingtime.com,Unknown,Unknown,,
Siigo,Accel-KKR,https://www.siigo.com,Unknown,Unknown,,
Singletrack,Accel-KKR,https://www.singletrack.com,Unknown,Unknown,,
SIS,Accel-KKR,https://www.sissurgery.com,Unknown,Unknown,,
Smart Communications,Accel-KKR,https://www.smartcommunications.com,Unknown,AWS,,
Springbrook Software,Accel-KKR,https://www.springbrooksoftware.com,Unknown,Unknown,,
StoreForce,Accel-KKR,https://www.storeforcesolutions.com,Unknown,Unknown,,
Submittable,Accel-KKR,https://www.submittable.com,Unknown,AWS,,
SugarCRM,Accel-KKR,https://www.sugarcrm.com,Unknown,AWS,,
Sycurio,Accel-KKR,https://www.sycurio.com,Unknown,AWS,,
Symfonia,Accel-KKR,https://www.symfonia.pl,Unknown,Unknown,,
Systems & Software,Accel-KKR,https://www.ssivt.com,Unknown,Unknown,,
Tactiq,Accel-KKR,https://www.gotactiq.com,Unknown,Unknown,,
Tai Software,Accel-KKR,https://www.tai-software.com,Unknown,Unknown,,
TapClicks,Accel-KKR,https://www.tapclicks.com,Unknown,Unknown,,
TaxDome,Accel-KKR,https://taxdome.com,Unknown,Unknown,,
TEAM Software,Accel-KKR,https://teamsoftware.com,Unknown,Unknown,,
Teamcore,Accel-KKR,https://www.goteamcore.com,Unknown,Unknown,,
TELCOR,Accel-KKR,https://www.telcor.com,Unknown,Unknown,,
Tithe.ly,Accel-KKR,https://get.tithe.ly,Unknown,Unknown,,
ToolsGroup,Accel-KKR,https://www.toolsgroup.com,Unknown,Unknown,,
Trax Technologies,Accel-KKR,https://www.traxtech.com,Unknown,Unknown,,
TREND Health Partners,Accel-KKR,https://www.trendhealthpartners.com,Unknown,Unknown,,
TrueCommerce,Accel-KKR,https://www.truecommerce.com,Unknown,Unknown,,
Unimarket,Accel-KKR,https://unimarket.com,Unknown,Unknown,,
Uptick,Accel-KKR,https://www.uptickhq.com,Unknown,Unknown,,
US eDirect,Accel-KKR,https://www.usedirect.com,Unknown,Unknown,,
Vendavo,Accel-KKR,https://www.vendavo.com,Unknown,Unknown,,
Veoci,Accel-KKR,https://veoci.com,Unknown,Unknown,,
Veryon,Accel-KKR,https://www.veryon.com,Unknown,Unknown,,
VisiQuate,Accel-KKR,https://www.visiquate.com,Unknown,Unknown,,
Vistex,Accel-KKR,https://www.vistex.com,Unknown,Unknown,,
Vitu,Accel-KKR,https://www.vitu.com,Unknown,Unknown,,
Vobile Group,Accel-KKR,https://www.vobilegroup.com,Unknown,Unknown,,
VYNE,Accel-KKR,https://vynecorp.com,Unknown,Unknown,,
Wistia,Accel-KKR,https://wistia.com,Unknown,Unknown,,
WorkTango,Accel-KKR,https://www.worktango.com,Unknown,Unknown,,
Xtiva,Accel-KKR,https://www.xtiva.com,Unknown,Unknown,,
Yes Energy,Accel-KKR,https://www.yesenergy.com,Unknown,Unknown,,
YourEncore,Accel-KKR,https://www.yourencore.com,Unknown,Unknown,,
Zinc Ahead,Accel-KKR,https://www.veeva.com/products/content-promotional-materials/promo-mats/,Unknown,Unknown,,
